City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
429,Havoysund,70.9963,24.6622,23.88,78,100,24.83,NO,2022-01-30 02:02:12
430,Nanortalik,60.1432,-45.2371,20.1,68,100,26.96,GL,2022-01-30 02:02:12
431,Chistogorskiy,53.9835,87.3843,-5.73,100,99,1.72,RU,2022-01-30 02:02:13
432,Hay River,60.8156,-115.7999,-4.02,77,100,9.22,CA,2022-01-30 01:57:16
433,Mabai,23.0128,104.4508,47.62,91,98,4.54,CN,2022-01-30 02:02:13
434,Olutanga,7.3106,122.8464,81.5,73,59,4.99,PH,2022-01-30 02:02:13
435,Nioro,13.35,-15.75,73.49,33,90,9.66,GM,2022-01-30 02:02:14
436,Elektrougli,55.7172,38.2078,23.58,100,100,4.47,RU,2022-01-30 02:02:14
437,Meulaboh,4.1363,96.1285,78.67,85,24,3.94,ID,2022-01-30 02:02:15
438,Charlestown,-32.95,151.6667,83.57,71,92,4.0,AU,2022-01-30 02:00:29
439,Nhlangano,-27.1167,31.2,59.94,98,92,1.72,SZ,2022-01-30 02:02:15
440,Ukiah,39.1502,-123.2078,54.64,60,0,5.75,US,2022-01-30 02:02:15
441,Caravelas,-17.7125,-39.2481,78.19,83,17,10.58,BR,2022-01-30 02:02:16
442,Mogadishu,2.0371,45.3438,76.42,78,16,19.8,SO,2022-01-30 01:59:58
443,Sorland,67.667,12.6934,36.19,58,100,23.76,NO,2022-01-30 02:02:16
444,Sayyan,15.1718,44.3244,48.54,46,4,1.01,YE,2022-01-30 02:02:17
445,Ottumwa,41.02,-92.4113,32.86,76,71,6.67,US,2022-01-30 02:02:17
446,Belaya Gora,68.5333,146.4167,-17.97,100,91,2.08,RU,2022-01-30 02:02:17
447,Ayolas,-27.4,-56.9,73.17,39,1,6.44,PY,2022-01-30 02:02:18
448,Nova Olimpia,-14.7972,-57.2881,72.1,96,100,2.86,BR,2022-01-30 02:02:18
449,Hegang,47.4,130.3667,7.59,70,11,8.43,CN,2022-01-30 02:00:33
450,Puerto Princesa,9.7392,118.7353,83.75,69,19,1.74,PH,2022-01-30 02:02:19
451,Takaka,-40.85,172.8,74.37,48,0,6.24,NZ,2022-01-30 02:02:19
452,Saint-Ambroise,48.5501,-71.3324,-1.12,87,100,5.99,CA,2022-01-30 02:02:19
453,Auki,-8.7676,160.7034,84.11,78,97,9.24,SB,2022-01-30 02:02:20
454,Gambela,8.25,34.5833,76.89,37,61,1.16,ET,2022-01-30 02:02:20
455,Yarim,14.298,44.3779,48.2,58,14,2.13,YE,2022-01-30 02:02:20
456,Luwuk,-0.9516,122.7875,85.98,63,100,1.43,ID,2022-01-30 02:02:21
457,Wakkanai,45.4094,141.6739,17.15,65,91,13.22,JP,2022-01-30 02:02:21
458,Lucea,18.451,-78.1736,77.86,71,0,15.93,JM,2022-01-30 02:02:22
459,Saint Anthony,45.0205,-93.218,23.14,73,0,3.0,US,2022-01-30 02:02:22
460,Sechelt,49.4664,-123.7694,45.07,92,100,4.68,CA,2022-01-30 02:01:08
461,Gushikawa,26.3544,127.8686,65.43,88,100,13.8,JP,2022-01-30 02:03:23
462,Axim,4.8699,-2.2405,78.49,89,19,2.08,GH,2022-01-30 02:03:23
463,Linjiang,41.8069,126.9078,14.22,71,18,1.34,CN,2022-01-30 02:03:23
464,Pemba,-12.974,40.5178,75.85,84,100,4.52,MZ,2022-01-30 02:03:24
465,Yazman,29.1212,71.7446,55.47,27,44,6.11,PK,2022-01-30 02:03:24
466,Richards Bay,-28.783,32.0377,68.86,88,3,1.63,ZA,2022-01-30 02:03:24
467,Tomatlan,19.9333,-105.25,68.38,86,0,0.47,MX,2022-01-30 01:58:38
468,Yulara,-25.2406,130.9889,80.44,78,100,16.11,AU,2022-01-30 01:59:52
